Time,data
1654044028.6617966,25
1654044028.8658302,25
1654044029.058912,25
1654044029.2536895,25
1654044029.4595766,25
1654044029.6648505,25
1654044029.86756,25
1654044030.0566044,25
1654044030.252453,25
1654044030.459472,26
1654044030.658446,26
1654044030.8664567,26
1654044031.056403,26
1654044031.259451,26
1654044031.4614415,26
1654044031.6592255,26
1654044031.8624244,26
1654044032.0542336,26
1654044032.2541838,26
1654044032.456106,26
1654044032.6561906,26
1654044032.8633256,25
1654044033.0521078,25
1654044033.2521307,25
1654044033.454999,25
1654044033.6529489,26
1654044033.8640685,26
1654044034.054916,26
1654044034.261213,26
1654044034.4600976,26
1654044034.655858,26
1654044034.8640547,26
1654044035.0590854,26
1654044035.2617323,26
1654044035.4589388,26
1654044035.655682,26
1654044035.8647773,26
1654044036.0565875,26
1654044036.2627478,26
1654044036.4595082,26
1654044036.6535723,26
1654044036.8645673,26
1654044037.0603867,26
1654044037.259711,26
1654044037.4614406,26
1654044037.6592774,26
1654044037.8663924,26
1654044038.0592697,26
1654044038.256289,26
1654044038.4591997,26
1654044038.6541672,26
1654044038.8611925,26
1654044039.0521362,26
1654044039.2590628,26
1654044039.4610264,26
1654044039.65503,26
1654044039.8652737,26
1654044040.0539188,26
1654044040.259222,26
1654044040.4601758,26
1654044040.6591747,26
1654044040.8649821,26
1654044041.0548728,26
1654044041.2621562,26
1654044041.4566934,26
1654044041.660621,26
1654044041.8667338,26
1654044042.0546908,26
1654044042.2595167,26
1654044042.4604666,26
1654044042.6565747,26
1654044042.8607666,26
1654044043.0565345,26
1654044043.2564428,26
1654044043.4563649,26
1654044043.6563745,26
1654044043.865662,26
1654044044.056321,26
1654044044.2596655,26
1654044044.4551787,26
1654044044.6561701,26
1654044044.8645716,26
1654044045.0562558,26
1654044045.2593646,26
1654044045.4550414,27
1654044045.6561396,27
1654044045.863209,27
1654044046.0560174,27
1654044046.2569926,27
1654044046.4602664,27
1654044046.6559398,27
1654044046.8619325,27
1654044047.0569482,26
1654044047.2607212,26
1654044047.459671,26
1654044047.6557784,26
1654044047.861933,26
1654044048.0589736,26
1654044048.2546182,26
1654044048.4627304,26
1654044048.6565733,26
1654044048.8615358,26
1654044049.0609047,26
1654044049.2594514,26
1654044049.461566,26
1654044049.6613743,26
1654044049.8624809,26
1654044050.0614033,26
1654044050.2613888,26
1654044050.4614782,26
1654044050.6616404,26
1654044050.8652859,26
1654044051.059086,25
1654044051.2610857,25
1654044051.461515,25
1654044051.6593368,25
1654044051.8632026,25
1654044052.0570905,25
1654044052.2550366,25
1654044052.4570208,25
1654044052.654991,25
1654044052.8669152,25
1654044053.062055,25
1654044053.261787,25
1654044053.4597936,25
1654044053.6607225,25
1654044053.8677928,25
1654044054.062342,25
1654044054.2567172,25
1654044054.4605715,25
1654044054.663966,25
1654044054.866636,25
1654044055.0645435,25
1654044055.256534,25
1654044055.4564745,25
1654044055.6574357,25
1654044055.865385,25
1654044056.0592093,25
1654044056.2531998,25
1654044056.4561665,25
1654044056.6541386,25
1654044056.8622954,25
1654044057.057063,25
1654044057.2591674,25
1654044057.4599056,25
1654044057.6591015,25
1654044057.866943,25
1654044058.059036,25
1654044058.260014,25
1654044058.4567978,25
1654044058.661752,25
1654044058.8657923,25
1654044059.0596664,25
1654044059.25669,25
1654044059.4596462,24
1654044059.6595485,24
1654044059.8666174,24
1654044060.0595284,24
1654044060.2565038,24
1654044060.4594753,24
1654044060.6565025,24
1654044060.860941,24
1654044061.0556166,24
1654044061.2555118,24
1654044061.4565895,24
1654044061.6495953,24
1654044061.861397,24
1654044062.053484,24
1654044062.255362,24
1654044062.4543903,24
1654044062.6563032,24
1654044062.8655343,24
1654044063.053343,24
1654044063.256322,24
1654044063.4551818,24
1654044063.6561651,24
1654044063.8634355,24
1654044064.0531807,24
1654044064.2570875,24
1654044064.4560535,24
1654044064.6540935,24
1654044064.862005,24
1654044065.0539467,24
1654044065.2598093,24
1654044065.4568253,24
1654044065.6558409,24
1654044065.862177,24
1654044066.0527294,24
1654044066.259757,24
1654044066.457754,24
1654044066.6526966,24
1654044066.865782,24
1654044067.0596542,24
1654044067.2606337,24
1654044067.4565382,24
1654044067.6566002,24
1654044067.8665113,24
1654044068.0607295,24
1654044068.2629616,24
1654044068.4564135,25
1654044068.656326,25
1654044068.8663821,25
1654044069.056498,25
1654044069.25962,25
1654044069.4562466,25
1654044069.6572511,25
1654044069.869267,25
1654044070.0572486,25
1654044070.2600932,25
1654044070.454973,25
1654044070.653012,25
1654044070.8652816,25
1654044071.0551076,25
1654044071.2599676,25
1654044071.4539006,25
1654044071.6598315,25
1654044071.8650618,25
1654044072.0608914,25
1654044072.2620459,25
1654044072.462228,25
1654044072.6566465,25
1654044072.8616574,25
1654044073.062212,25
1654044073.259984,25
1654044073.4615808,25
1654044073.659828,25
1654044073.8636127,25
1654044074.060257,25
1654044074.2615259,25
1654044074.457489,25
1654044074.6613069,25
1654044074.8634913,25
1654044075.0575724,25
1654044075.256358,25
1654044075.4542267,25
1654044075.6601505,25
1654044075.8622227,25
1654044076.0613241,25
1654044076.2630394,25
1654044076.4610095,25
1654044076.661319,25
1654044076.8642278,25
1654044077.0633097,25
1654044077.260909,25
1654044077.461903,25
1654044077.656915,25
1654044077.8669486,24
1654044078.0567784,24
1654044078.255784,24
1654044078.4617016,24
1654044078.654769,24
1654044078.8641794,24
1654044079.0545933,24
1654044079.251638,24
1654044079.45763,24
1654044079.6545265,24
1654044079.8647037,24
1654044080.0535104,24
1654044080.2544756,24
1654044080.4594066,24
1654044080.6534216,24
1654044080.8637516,24
1654044081.056438,24
1654044081.2522752,24
1654044081.4552536,24
1654044081.6521752,24
1654044081.8628113,24
1654044082.0562086,24
1654044082.2572434,24
1654044082.456047,24
1654044082.6530874,24
1654044082.8628945,24
1654044083.062628,24
1654044083.2599554,24
1654044083.4570463,24
1654044083.6508536,24
1654044083.864071,24
1654044084.060214,24
1654044084.2569246,24
1654044084.4538004,24
1654044084.649733,24
1654044084.8618703,24
1654044085.0620565,24
1654044085.253679,24
1654044085.456626,24
1654044085.65361,24
1654044085.8675017,24
1654044086.0616457,24
1654044086.2605765,24
1654044086.4600508,24
1654044086.660374,24
1654044086.8664155,24
1654044087.0564206,24
1654044087.2613652,24
1654044087.4629848,24
1654044087.6562915,24
1654044087.8644156,24
1654044088.0562816,24
1654044088.2602067,24
1654044088.4610848,24
1654044088.6595123,24
1654044088.8641546,24
1654044089.0530038,24
1654044089.2540119,24
1654044089.4559844,24
1654044089.6600795,24
1654044089.8622656,24
1654044090.0569472,24
1654044090.261819,24
1654044090.4617677,24
1654044090.6632323,24
1654044090.8651483,24
1654044091.0599923,24
1654044091.2599654,24
1654044091.4576344,24
1654044091.6615987,24
1654044091.8657606,24
1654044092.057606,24
1654044092.2597566,24
1654044092.4575157,24
1654044092.6631494,24
1654044092.865594,24
1654044093.0575182,24
1654044093.2574077,24
1654044093.4542894,24
