Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pressure.data,temperature.data,depth.data
1654044170.1015685,1563,1654044170,100404024,,102843.52187611889,28.703756334781648,0.1578690353224212
1654044170.3012106,1564,1654044170,300149679,,102845.75824793667,28.70802019238472,0.15809776798047911
1654044170.5006487,1565,1654044170,499805688,,102846.83542137056,28.707557448148727,0.1582079396168612
1654044170.701233,1566,1654044170,700213909,,102845.66642783757,28.708582096099853,0.1580883767624521
1654044170.9013937,1567,1654044170,900171995,,102843.95985294809,28.70924315929413,0.15791383091656785
1654044171.1014614,1568,1654044171,100122690,,102845.24300021328,28.710961923599243,0.15804506923852887
1654044171.3009024,1569,1654044171,299836635,,102846.27299966314,28.717671715021133,0.1581504159926296
1654044171.5004885,1570,1654044171,499781131,,102844.78388063994,28.713771442174913,0.15799811119714194
1654044171.7013373,1571,1654044171,700075864,,102843.9165148426,28.718233618736267,0.15790939836202345
1654044171.9008157,1572,1654044171,900092840,,102848.07566008111,28.7180683529377,0.1583347893180763
1654044172.1013842,1573,1654044172,100150108,,102845.55291971636,28.721836413145066,0.15807676732699524
1654044172.30115,1574,1654044172,299817800,,102847.3525391445,28.724017921686173,0.15826082962469518
1654044172.5012984,1575,1654044172,500149965,,102844.68824145413,28.72471203804016,0.15798832936882082
1654044172.7009745,1576,1654044172,700192451,,102849.95982461028,28.72805040717125,0.15852749875822786
1654044172.9005938,1577,1654044172,899813413,,102843.96708217933,28.729471693038942,0.15791457031118195
1654044173.10108,1578,1654044173,99960327,,102847.18810126185,28.730231915712356,0.15824401117184045
1654044173.300982,1579,1654044173,299958944,,102845.24229585315,28.73175236105919,0.15804499719766268
1654044173.5016892,1580,1654044173,500204324,,102842.55302400299,28.734727145433425,0.15776994262326793
1654044173.7028787,1581,1654044173,700117826,,102848.37149723813,28.733074487447738,0.15836504708592058
1654044173.9013243,1582,1654044173,900122642,,102843.49443367019,28.73601621866226,0.157866228551121
