Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1654044094.6983745,238,1654044094,697786208,,True,False,False,True,POSCTL,3
1654044095.7000983,239,1654044095,699556004,,True,False,False,True,POSCTL,3
1654044096.7001145,240,1654044096,699378448,,True,False,False,True,POSCTL,3
1654044097.6979692,241,1654044097,697328836,,True,False,False,True,POSCTL,3
1654044098.699093,242,1654044098,697168724,,True,False,False,True,POSCTL,3
1654044099.698442,243,1654044099,696979891,,True,False,False,True,POSCTL,3
1654044100.7002919,244,1654044100,699731038,,True,False,False,True,POSCTL,3
1654044101.7001991,245,1654044101,699595537,,True,False,False,True,POSCTL,3
1654044102.698942,246,1654044102,698442389,,True,False,False,True,POSCTL,3
1654044103.698016,247,1654044103,697325481,,True,False,False,True,POSCTL,3
1654044104.6987948,248,1654044104,698137906,,True,False,False,True,POSCTL,3
1654044105.6989133,249,1654044105,698338165,,True,False,False,True,POSCTL,3
1654044106.7003458,250,1654044106,699764201,,True,False,False,True,POSCTL,3
1654044107.6992507,251,1654044107,698719145,,True,False,False,True,POSCTL,3
1654044108.7000477,252,1654044108,699501811,,True,False,False,True,POSCTL,3
1654044109.6998353,253,1654044109,699319014,,True,False,False,True,POSCTL,3
1654044110.7006927,254,1654044110,700125532,,True,False,False,True,POSCTL,3
1654044111.699496,255,1654044111,698977346,,True,False,False,True,POSCTL,3
1654044112.6993878,256,1654044112,698828494,,True,False,False,True,POSCTL,3
1654044113.700208,257,1654044113,699636771,,True,False,False,True,POSCTL,3
1654044114.6981347,258,1654044114,697582678,,True,False,False,True,POSCTL,3
1654044115.6985395,259,1654044115,697385270,,True,False,False,True,POSCTL,3
1654044116.698951,260,1654044116,698214621,,True,False,False,True,POSCTL,3
1654044117.6987755,261,1654044117,698175417,,True,False,False,True,POSCTL,3
1654044118.70039,262,1654044118,699875361,,True,False,False,True,POSCTL,3
1654044119.7003617,263,1654044119,699694082,,True,False,False,True,POSCTL,3
1654044120.7003596,264,1654044120,699590804,,True,False,False,True,POSCTL,3
1654044121.6999223,265,1654044121,699397748,,True,False,False,True,POSCTL,3
1654044122.7000284,266,1654044122,699623118,,True,False,False,True,POSCTL,3
1654044123.6993885,267,1654044123,698986358,,True,False,False,True,POSCTL,3
1654044124.7012079,268,1654044124,700742209,,True,False,False,True,POSCTL,3
1654044125.699106,269,1654044125,698670579,,True,False,False,True,POSCTL,3
1654044126.6991103,270,1654044126,698543078,,True,False,False,True,POSCTL,3
1654044127.699899,271,1654044127,699385244,,True,False,False,True,POSCTL,3
1654044128.701217,272,1654044128,700263281,,True,False,False,True,POSCTL,3
1654044129.698778,273,1654044129,698252687,,True,False,False,True,POSCTL,3
1654044130.6994665,274,1654044130,698940650,,True,False,False,True,POSCTL,3
1654044131.6981115,275,1654044131,697741927,,True,False,False,True,POSCTL,3
1654044132.6989572,276,1654044132,698561704,,True,False,False,True,POSCTL,3
1654044133.6978457,277,1654044133,697485926,,True,False,False,True,POSCTL,3
1654044134.7009,278,1654044134,700268444,,True,False,False,True,POSCTL,3
1654044135.6997402,279,1654044135,699117776,,True,False,False,True,POSCTL,3
1654044136.6987958,280,1654044136,697965646,,True,False,False,True,POSCTL,3
1654044137.698331,281,1654044137,697832535,,True,False,False,True,POSCTL,3
1654044138.6993597,282,1654044138,698756256,,True,False,False,True,POSCTL,3
1654044139.700057,283,1654044139,699498311,,True,False,False,True,POSCTL,3
1654044140.701237,284,1654044140,700343440,,True,False,False,True,POSCTL,3
1654044141.698124,285,1654044141,697246366,,True,False,False,True,POSCTL,3
1654044142.700723,286,1654044142,699988383,,True,False,False,True,POSCTL,3
1654044143.7004583,287,1654044143,699865327,,True,False,False,True,POSCTL,3
1654044144.7002974,288,1654044144,699696956,,True,False,False,True,POSCTL,3
1654044145.6983137,289,1654044145,697555752,,True,False,False,True,POSCTL,3
1654044146.698997,290,1654044146,698365048,,True,False,False,True,POSCTL,3
1654044147.7011876,291,1654044147,700539029,,True,False,False,True,POSCTL,3
1654044148.698416,292,1654044148,698028732,,True,False,False,True,POSCTL,3
1654044149.700452,293,1654044149,699923194,,True,False,False,True,POSCTL,3
1654044150.6980379,294,1654044150,697673416,,True,False,False,True,POSCTL,3
1654044151.700987,295,1654044151,700542378,,True,False,False,True,POSCTL,3
1654044152.6987166,296,1654044152,698342877,,True,False,False,True,POSCTL,3
1654044153.6991227,297,1654044153,698272506,,True,False,False,True,POSCTL,3
1654044154.6987908,298,1654044154,698085432,,True,False,False,True,POSCTL,3
1654044155.699442,299,1654044155,698918431,,True,False,False,True,POSCTL,3
1654044156.698411,300,1654044156,697786782,,True,False,False,True,POSCTL,3
1654044157.699463,301,1654044157,698920837,,True,False,False,True,POSCTL,3
1654044158.7013516,302,1654044158,700605022,,True,False,False,True,POSCTL,3
1654044159.700963,303,1654044159,700288688,,True,False,False,True,POSCTL,3
1654044160.6984224,304,1654044160,698067391,,True,False,False,True,POSCTL,3
1654044161.6982772,305,1654044161,697909465,,True,False,False,True,POSCTL,3
1654044162.7006307,306,1654044162,699841557,,True,False,False,True,POSCTL,3
1654044163.6991785,307,1654044163,698552241,,True,False,False,True,POSCTL,3
1654044164.7017713,308,1654044164,700499648,,True,False,False,True,POSCTL,3
1654044165.6988924,309,1654044165,698303647,,True,False,False,True,POSCTL,3
1654044166.6997466,310,1654044166,699238277,,True,False,False,True,POSCTL,3
1654044167.6989026,311,1654044167,698002035,,True,False,False,True,POSCTL,3
1654044168.7017663,312,1654044168,700837498,,True,False,False,True,POSCTL,3
1654044169.7036695,313,1654044169,700789127,,True,False,False,True,POSCTL,3
1654044170.7000606,314,1654044170,699503052,,True,False,False,True,POSCTL,3
1654044171.7013988,315,1654044171,700331144,,True,False,False,True,POSCTL,3
1654044172.6997397,316,1654044172,699203958,,True,False,False,True,POSCTL,3
1654044173.699574,317,1654044173,699019754,,True,False,False,True,POSCTL,3
1654044174.7034512,318,1654044174,701052290,,True,False,False,True,POSCTL,3
1654044175.7017934,319,1654044175,700882475,,True,False,False,True,POSCTL,3
1654044176.701479,320,1654044176,700580289,,True,False,False,True,POSCTL,3
1654044177.701312,321,1654044177,700381474,,True,False,False,True,POSCTL,3
1654044178.7008374,322,1654044178,700232214,,True,False,False,True,POSCTL,3
1654044179.7008376,323,1654044179,700033769,,True,False,False,True,POSCTL,3
1654044180.6994724,324,1654044180,698901231,,True,False,False,True,POSCTL,3
1654044181.6992831,325,1654044181,698725823,,True,False,False,True,POSCTL,3
1654044182.7001073,326,1654044182,699554082,,True,False,False,True,POSCTL,3
1654044183.6999326,327,1654044183,699417637,,True,False,False,True,POSCTL,3
1654044184.6998188,328,1654044184,699285951,,True,True,False,True,POSCTL,4
1654044185.6989963,329,1654044185,698419950,,True,True,False,True,POSCTL,4
1654044186.7003567,330,1654044186,699932265,,True,True,False,True,POSCTL,8
1654044187.7001774,331,1654044187,699791394,,True,True,False,True,POSCTL,8
1654044188.6990635,332,1654044188,698654393,,True,True,False,True,POSCTL,4
1654044189.6988106,333,1654044189,698427689,,True,True,False,True,POSCTL,4
1654044190.7004585,334,1654044190,699738651,,True,True,False,True,POSCTL,8
1654044191.699658,335,1654044191,699145984,,True,True,False,True,POSCTL,8
1654044192.7024245,336,1654044192,701009946,,True,True,False,True,POSCTL,8
1654044193.7021415,337,1654044193,701551260,,True,True,False,True,POSCTL,8
1654044194.7020016,338,1654044194,700703186,,True,False,False,True,POSCTL,8
1654044195.7000132,339,1654044195,699507018,,True,False,False,True,POSCTL,8
1654044196.7014875,340,1654044196,700356777,,True,False,False,True,POSCTL,3
