Time,data
1654044536.504079,89929.1015625
1654044536.616202,106450.21875
1654044536.7039876,116325.1640625
1654044536.8043003,110192.9375
1654044536.9044507,111254.1640625
1654044537.0032315,95284.4453125
1654044537.116139,105196.65625
1654044537.202922,102865.9296875
1654044537.303453,97651.453125
1654044537.4033759,99841.1328125
1654044537.5033891,102883.0703125
1654044537.6155193,103891.1171875
1654044537.7035005,99596.7734375
1654044537.8026762,87243.3203125
1654044537.902559,104481.765625
1654044538.0031276,127534.453125
1654044538.11475,90403.171875
1654044538.2022507,97935.3828125
1654044538.3026934,112791.4765625
1654044538.401786,94035.6015625
1654044538.5024817,97703.7734375
1654044538.6150062,97644.7578125
1654044538.7026582,98119.71875
1654044538.8018396,94217.5625
1654044538.9020548,110455.140625
1654044539.0021317,99356.109375
1654044539.1146407,99528.9765625
1654044539.2021618,93448.25
1654044539.3015409,117269.546875
1654044539.4014962,108794.1328125
1654044539.5009027,88509.75
1654044539.6128542,106491.8515625
1654044539.7017753,134597.828125
1654044539.801228,102024.2109375
1654044539.900886,84861.125
1654044540.0000615,105856.3515625
1654044540.1125813,115712.4765625
1654044540.2002814,109606.4296875
1654044540.3006685,121334.484375
1654044540.4005916,100542.78125
1654044540.499633,96963.84375
1654044540.6123247,113877.15625
1654044540.7009268,134278.390625
1654044540.7992237,91134.15625
1654044540.9042408,109625.546875
1654044541.003411,86764.9609375
1654044541.1148307,100163.171875
1654044541.203364,85348.8359375
1654044541.3045006,100189.828125
1654044542.5505805,86076.15625
1654044543.7694902,88185.0859375
1654044545.2906473,101968.09375
1654044546.5114985,100679.515625
1654044547.7306705,86790.484375
1654044549.2517574,117654.140625
1654044550.4723818,106614.9140625
1654044551.9939792,109328.2734375
1654044553.2151215,117895.2890625
1654044554.4348352,104989.25
1654044555.954794,122025.484375
1654044557.1768744,97995.546875
1654044558.697821,101882.40625
1654044559.9156394,124707.984375
1654044561.1374686,117749.765625
1654044562.6544766,99724.3125
1654044563.8735614,147487.84375
1654044565.399755,123379.0625
1654044566.6209946,122757.765625
1654044567.8414478,106843.203125
1654044569.3618174,102531.265625
1654044570.5833132,110005.7578125
1654044572.101341,122049.453125
1654044573.3228662,87401.3828125
1654044574.543443,106628.75
1654044576.066755,102734.75
1654044577.2833498,92404.390625
1654044578.8038971,121763.296875
1654044580.0273545,99602.0234375
1654044581.2494733,115207.8125
1654044582.767085,112018.5546875
1654044583.9841392,94374.390625
1654044585.5018709,97545.21875
1654044586.7175424,123503.390625
1654044587.9329958,100547.0546875
1654044589.4472744,93721.71875
1654044590.662122,67104.0
1654044592.179536,76519.5703125
1654044593.3931627,84050.203125
1654044594.6089303,77880.265625
1654044596.1235023,82737.578125
1654044597.3380609,119153.3671875
1654044598.8542225,182295.484375
1654044600.0689538,105284.2734375
1654044601.2871828,99004.9140625
1654044602.8005116,71603.1875
1654044604.0142012,76502.9140625
1654044605.531306,105196.0859375
1654044606.7450104,144718.546875
1654044607.960238,107357.7734375
1654044609.475116,99364.9140625
1654044610.6912577,74582.9296875
1654044612.206597,69866.265625
1654044613.4218476,94721.6171875
1654044614.63777,59156.44140625
1654044616.1536968,72945.6484375
1654044617.3671894,106600.765625
1654044618.882997,107908.6953125
1654044620.0969028,72594.7578125
1654044621.314558,98151.2578125
1654044622.8319523,127116.625
1654044624.0474422,91156.15625
1654044625.5641894,98900.796875
1654044626.7786038,62722.7109375
1654044627.993208,78044.0
1654044629.5081782,95939.2734375
1654044630.7237635,116882.4921875
1654044632.239405,74223.421875
1654044633.4553058,79774.6875
1654044634.6694663,70774.8359375
1654044636.1855052,92513.703125
1654044637.3990684,88897.703125
1654044638.915137,72698.7421875
1654044640.1349127,87565.890625
1654044641.3541129,3702.80712890625
1654044642.8718472,37992.3125
1654044644.087818,4186.10693359375
1654044645.6022272,5361.4853515625
1654044646.8178139,6315.8515625
1654044648.0330112,4398.6796875
1654044649.5480742,7954.0732421875
1654044650.7633266,6701.2314453125
1654044652.2782853,6045.197265625
1654044653.494398,4299.40185546875
1654044654.7081509,5718.1826171875
1654044656.2226522,6251.12109375
1654044657.4381933,4456.1865234375
1654044658.9547772,5281.0927734375
1654044660.1700554,6362.3427734375
1654044661.3844032,7455.46826171875
1654044662.8989868,6041.8359375
1654044664.1152115,5170.154296875
1654044665.637403,15636.91796875
1654044666.857027,10739.923828125
1654044668.0789855,8043.55126953125
1654044669.6000211,5455.6845703125
1654044670.8166704,6270.2900390625
1654044672.3397748,7315.2802734375
1654044673.557757,7168.794921875
1654044674.7766938,43253.51171875
1654044676.2999592,96127.78125
1654044677.5162597,98860.2890625
1654044679.039127,90571.3984375
1654044680.257606,101240.15625
1654044681.4782114,108243.28125
1654044682.99916,104506.796875
1654044684.2178106,98896.3828125
1654044685.7397492,110550.421875
1654044686.9569428,113653.484375
1654044688.1789634,112857.1953125
1654044689.6981673,113462.8046875
1654044690.9187102,99121.78125
1654044692.449045,101180.15625
1654044693.6697645,99008.328125
1654044694.8913388,125430.8125
1654044696.4112215,97128.0078125
1654044697.6325018,111566.8671875
1654044699.1536906,115277.7890625
1654044700.3710291,91854.5390625
1654044701.5923586,108669.078125
1654044703.1135776,98802.0703125
1654044704.3356361,103222.1484375
1654044705.8525143,126908.875
1654044707.0758615,125097.2890625
1654044708.294898,135749.734375
1654044709.8159063,98844.2578125
1654044711.0396063,162134.0
1654044712.5586662,98722.484375
1654044713.7776191,125927.78125
1654044715.0000288,104038.09375
1654044716.5191646,128243.375
1654044717.7413104,105737.453125
1654044719.2612484,91487.4296875
1654044720.4811752,103427.1171875
1654044721.699444,126182.640625
1654044723.2192063,118627.0390625
1654044724.4442475,85583.78125
1654044725.965791,105616.578125
1654044727.1856349,148592.78125
1654044728.4058716,118979.171875
1654044729.9264205,96381.5546875
1654044731.1423786,97645.4375
1654044732.659108,108860.8828125
1654044733.8741512,105758.71875
1654044735.0901356,72214.1484375
1654044736.6041434,81319.28125
1654044737.8185477,81595.796875
