Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15,channels_16,channels_17
1654044151.6379328,5885,1654044151,620950144,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.6859238,5886,1654044151,663951424,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.7369678,5887,1654044151,726951424,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.785166,5888,1654044151,769952704,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.837233,5889,1654044151,833952704,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.8849242,5890,1654044151,876952960,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.937182,5891,1654044151,918952960,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044151.9869218,5892,1654044151,982954752,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.0368972,5893,1654044152,25954752,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.0869431,5894,1654044152,68956544,,40,1494,1493,985,1493,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.136008,5895,1654044152,132956544,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.1868892,5896,1654044152,174959104,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.2348962,5897,1654044152,217959104,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.285913,5898,1654044152,280959616,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.3368316,5899,1654044152,324959616,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.3847961,5900,1654044152,366960896,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.4368107,5901,1654044152,430960896,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.4870722,5902,1654044152,473961152,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.5357788,5903,1654044152,516961152,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.5868063,5904,1654044152,580962944,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.6359735,5905,1654044152,622962944,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.6867971,5906,1654044152,671963712,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.7359736,5907,1654044152,728963712,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.786011,5908,1654044152,771964992,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.8377109,5909,1654044152,815964992,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.8848088,5910,1654044152,879966272,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.9367561,5911,1654044152,921966272,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044152.9867725,5912,1654044152,963969088,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.035766,5913,1654044153,27969088,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.0877192,5914,1654044153,70969856,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.1361735,5915,1654044153,113969856,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.1849942,5916,1654044153,177971136,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.2381911,5917,1654044153,219971136,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.2878485,5918,1654044153,283973696,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.3358455,5919,1654044153,325973696,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.3870664,5920,1654044153,369974976,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.437892,5921,1654044153,433974976,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.48526,5922,1654044153,475974976,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.5368283,5923,1654044153,518974976,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.5877748,5924,1654044153,582975232,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.6358175,5925,1654044153,625975232,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.687729,5926,1654044153,667976768,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.7359,5927,1654044153,731976768,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.7870092,5928,1654044153,775977792,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.8380997,5929,1654044153,816977792,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.8847694,5930,1654044153,881977792,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.9367766,5931,1654044153,923977792,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044153.9879568,5932,1654044153,966980608,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.0362942,5933,1654044154,30980608,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.0867097,5934,1654044154,72981632,,40,1494,1493,986,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.1389189,5935,1654044154,115981632,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.186736,5936,1654044154,179982656,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.2377927,5937,1654044154,221982656,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.2847462,5938,1654044154,265983680,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.3366997,5939,1654044154,329983680,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.3879173,5940,1654044154,371985984,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.4356523,5941,1654044154,413985984,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.4866805,5942,1654044154,478986496,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.5377405,5943,1654044154,521986496,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.5846903,5944,1654044154,563987264,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.6377313,5945,1654044154,627987264,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.6865978,5946,1654044154,669988288,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.7361221,5947,1654044154,719988288,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.786874,5948,1654044154,776989312,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.837643,5949,1654044154,819989312,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.8846414,5950,1654044154,862989824,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.9365895,5951,1654044154,926989824,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044154.9845934,5952,1654044154,969990592,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044155.0372322,5953,1654044155,10990592,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044155.0870066,5954,1654044155,75991616,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044155.1365926,5955,1654044155,117991616,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044155.186516,5956,1654044155,181992640,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044155.237627,5957,1654044155,225992640,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654044155.285699,5958,1654044155,266993152,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
